Name,University,Difficulty Level,Link,About,Course Description,Category
Introduction to FinTech,University of Hong Kong,Beginner,https://www.edx.org/course/introduction-to-fintech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance."," Over the past decade emerging technologies, paired with massive changes in regulations, have driven an unprecedented transformation of finance around the world. This process is happening more rapidly in China and Asia than anywhere else. This course is designed to explore FinTech fundamentals and help make sense of this wave of change as it happens.New players such as start-ups and technology firms are challenging traditional players in finance, bringing democratization, inclusion and disruption. Companies engaged in social media, e-commerce, and telecommunications, as well as, companies and start-ups with large customer data pools, creative energies, and technical capacities, have brought competition to the existing financial infrastructure and are remaking the industry.These transformations have not only created challenges but also unprecedented opportunities, building synergies with new business and regulatory models, particularly in emerging markets and developing countries. To meet these changes, 21st-century professionals and students must be equipped with up-to-date knowledge of the industry and its incredible evolution. This course - designed by HKU with the support of SuperCharger and the Centre for Finance, Technology and Education - is designed to enable learners with the necessary tools to understand the complex interaction of finance, technology and regulation.In this course, through a series of video lectures, case studies, and assessments you will explore the major areas of FinTech including, beginning with What is FinTech before turning to Money, Payment and Emerging Technologies, Digital Finance and Alternative Finance, FinTech Regulation and RegTech, Data and Security, and the Future of Data Driven Finance, as well as, the core technologies driving FinTech including Blockchain, AI and Big Data. These will set the stage for understanding the FinTech landscape and ecosystem and grappling with the potential direction of future change.**** Economics & Finance",Business
Data Science: R Basics,Harvard University,Beginner,https://www.edx.org/course/data-science-r-basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.","The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges. Data Analysis & Statistics",Data Analytics
Python Basics for Data Science,IBM,Beginner,https://www.edx.org/course/python-basics-for-data-science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!","Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this Beginner course.The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.In this course you will learn about: Data Analysis & Statistics",Computer Science
The Science of Beer,Wageningen University & Research,Beginner,https://www.edx.org/course/the-science-of-beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health."," Have you ever taken a sip of beer and wondered why it tastes a certain way or what effect the alcohol has on your body?In this course, you will learn all about beer, including how it's made, the raw materials used, it's supply chain, how it's marketed and the effect of beer consumption on your body.After this course, tasting a beer will be an entirely new sensation: you will enjoy it even more since you will better understand what's inside your drink. Not to mention, to be a responsible drinker it is important to know what effects beer has on your health. You will gain a natural view on this, allowing you to form your own well-grounded opinion.This MOOC is developed by students of Wageningen University & Research in honour of the 100 year anniversary of the university. The students have received guidance from professors and experts in the field of food production, health risks, marketing, logistics and sustainable supply chains to ensure a high-quality learning experience for everyone. In this MOOC your teachers will truly be your peers!So, are you interested in the science behind your beer? Register for this course now! Food & Nutrition",Marketing
Strategic Social Media Marketing,Boston University,Advanced,https://www.edx.org/course/strategic-social-media-marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,"Social media technologies are continuously transforming the ways consumers interact with each other and firms. These changes constitute a fundamental shift in the marketplace--consumers have greater opportunities to voice their opinions and connect with their peers as well as increased influence over marketers and brands. In this course, part of the Digital Product Management MicroMasters program, we examine how organizations capitalize on social media and consumer-to-consumer interactions to support their marketing efforts. We view these issues from a strategic and a practical perspective, rather than a technical or platform perspective. We will give you the knowledge you need to create engaging content for platforms such as Facebook, Instagram, Twitter, and Snapchat and how to identify influencers, deliver content to a targeted audience, and measure the success of your efforts. Understanding social media is crucial for product managers who will be operating in a digital environment. Product managers will learn how to use social media conversations to inform their decision-making and how to leverage social media to promote their products, services and the brand. Additionally, learners will gain an understanding of how social media can be used to achieve specific organizational objectives and to measure the effectiveness of those efforts. Business & Management",Marketing
CS50's Introduction to Artificial Intelligence with Python,Harvard University,Beginner,https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,Learn to use machine learning in Python in this Beginner course on artificial intelligence.,"AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career.CS50’s Introduction to Artificial Intelligence with Python explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that give rise to technologies like game-playing engines, handwriting recognition, and machine translation. Through hands-on projects, students gain exposure to the theory behind graph search algorithms, classification, optimization, reinforcement learning, and other topics in artificial intelligence and machine learning as they incorporate them into their own Python programs. By course’s end, students emerge with experience in libraries for machine learning as well as knowledge of artificial intelligence principles that enable them to design intelligent systems of their own.Enroll now to gain expertise in one of the fastest-growing domains of computer science from the creators of one of the most popular computer science courses ever, CS50. You’ll learn the theoretical frameworks that enable these new technologies while gaining practical experience in how to apply these powerful techniques in your work. Computer Science",Computer Science
CS50's Web Programming with Python and JavaScript,Harvard University,Intermediate,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.","Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet. Computer Science",Computer Science
Contract Law: From Trust to Promise to Contract,Harvard University,Intermediate,https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?","Learn about contracts from Harvard Law Professor Charles Fried, one of the world's leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refuse to honor a promise? What happens when one party does not hold to their part of the deal? This version of the course adds new units on Interpretation, Agency, Partnerships, Corporations, and Government Regulation.We are exposed to contracts in all areas of our life -- agreeing to terms when downloading a new computer program, hiring a contractor to repair a leaking roof, and even ordering a meal at a restaurant. Knowing the principles of contracts is not just a skill needed by lawyers, it illuminates for everyone a crucial institution that we use all the time and generally take for granted.This contract law course, with new materials and updated case examples, is designed to introduce the range of issues that arise when entering and enforcing contracts. It will provide an introduction to what a contract is and also analyze the purpose and significance of contracts. Then, it will discuss the intent to create legal relations, legality and morality, and the distinction between gifts and bargains. The course also investigates common pitfalls: one-sided promises, mistake, fraud, and frustration. With the knowledge of what makes contracts and how they can go wrong, Professor Fried will discuss remedies and specific performance. Finally, Professor Fried will introduce how contracts can create rights for third parties.The course's instructor, Charles Fried, has been teaching at Harvard Law School for more than 50 years and has written extensively on contracts. Not only is Professor Fried a leading authority on contract law, but he also utilizes a story-telling approach to explaining the topic, which creates a unique and interesting class experience. Business & Management",Business
Data Science: Machine Learning,Harvard University,Beginner,https://www.edx.org/course/data-science-machine-learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning. Data Analysis & Statistics",Data Analytics
Using Python for Research,Harvard University,Intermediate,https://www.edx.org/course/using-python-for-research,Take your Beginner knowledge of Python programming to the next level and learn how to use Python 3 for your research.,"This course bridges the gap between Beginner and advanced courses in Python. While there are many excellent Beginner Python courses available, most typically do not go deep enough for you to apply your Python skills to research projects. In this course, after first reviewing the basics of Python 3, we learn about tools commonly used in research settings. This version of the course includes a new module on statistical learning.Using a combination of a guided introduction and more independent in-depth exploration, you will get to practice your new Python skills with various case studies chosen for their scientific breadth and their coverage of different Python features. Computer Science",Computer Science
Statistics and R,Harvard University,Intermediate,https://www.edx.org/course/statistics-and-r,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,"This course teaches the R programming language in the context of statistical data and statistical analysis in the life sciences.We will learn the basics of statistical inference in order to understand and compute p-values and confidence intervals, all while analyzing data with R code. We provide R programming examples in a way that will help make the connection between concepts and implementation. Problem sets requiring R programming will be used to test understanding and ability to implement basic data analyses. We will use visualization techniques to explore new data sets and determine the most appropriate approach. We will describe robust statistical techniques as alternatives when data do not fit assumptions required by the standard approaches. By using R scripts to analyze data, you will learn the basics of conducting reproducible research.Given the diversity in educational background of our students we have divided the course materials into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the Beginner biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. We start with simple calculations and descriptive statistics. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.These courses make up two Professional Certificates and are self-paced:Data Analysis for Life Sciences:Genomics Data Analysis:This class was supported in part by NIH grant R25GM114818. Data Analysis & Statistics",Data Analytics
Data Science: Visualization,Harvard University,Beginner,https://www.edx.org/course/data-science-visualization,Learn basic data visualization principles and how to apply them using ggplot2.,"As part of our Professional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States. We'll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. The fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important. The growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. Data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. This course will give you the skills you need to leverage data to reveal valuable insights and advance your career. Data Analysis & Statistics",Data Analytics
The Science of Happiness,"University of California, Berkeley",Beginner,https://www.edx.org/course/the-science-of-happiness-3,"The first MOOC to teach positive psychology. Learn science-based principles and practices for a happy, meaningful life.","A free eight-week Science of Happiness course that will offer practical, research-backed tips on living a happy and meaningful life."" - The Huffington PostWe all want to be happy, and there are countless ideas about what happiness is and how we can get some. But not many of those ideas are based on science. That's where this course comes in.""The Science of Happiness"" is the first MOOC to teach the ground-breaking science of positive psychology, which explores the roots of a happy and meaningful life. Students will engage with some of the most provocative and practical lessons from this science, discovering how cutting-edge research can be applied to their own lives. Created by UC Berkeley's Greater Good Science Center, the course will zero in on a fundamental finding from positive psychology: that happiness is inextricably linked to having strong social connections and contributing to something bigger than yourself--the greater good. Students will learn about the cross-disciplinary research supporting this view, spanning the fields of psychology, neuroscience, evolutionary biology, and beyond.What's more, ""The Science of Happiness"" offers students practical strategies for tapping into and nurturing their own happiness, including trying several research-backed activities that foster social and emotional well-being, and exploring how their own happiness changes along the way.The course's co-instructors, Dacher Keltner and Emiliana Simon-Thomas, are not only leading authorities on positive psychology but also gifted teachers skilled at making science fun and personal. They'll be joined by world-renowned experts discussing themes like empathy, mindfulness, and gratitude--experts including Barbara Fredrickson, Paul Ekman, Sonja Lyubomirsky, and Jon Kabat-Zinn. Health professionals who register can earn continuing education units for their participation.Consider signing up for this course with a friend or group - tweet about your registration, share it on Facebook, and use the buddy system to stay on track. Join the conversation on The Greater Good Science Center Facebook page, or in the BerkeleyX: GG101x The Science of Happiness Facebook group.NOTE: This course is a self-paced course on edX. Social Sciences
Leaders of Learning	Harvard University	Beginner	N/A	https://www.edx.org/course/leaders-of-learning	Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.	All of us carry explicit or implicit theories of learning. They manifest themselves in the ways we learn, the ways we teach, and the ways we think about leadership and learning.In Leaders of Learning, you will identify and develop your personal theory of learning, and explore how it fits into the shifting landscape of learning. This isn’t just about schools, it’s about the broader and bigger world of learning.The education sector is undergoing great transformation, and in the coming decades will continue to change. How we learn, what we learn, where we learn, and why we learn; all these questions will be reexamined. In Leaders of Learning, we will explore learning, leadership, organizational structure, and physical design.HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form. Communication
Exercising Leadership: Foundational Principles	Harvard University	Beginner	N/A	https://www.edx.org/course/exercising-leadership-foundational-principles	Mobilize people to tackle tough problems and build the capacity to thrive through the dangers of change	The crises of our time generate enormous adaptive challenges for our families, organizations, communities, and societies. The need for leadership that can mobilize people to meet these challenges and improve life is critical.In this Beginner course, you will explore strategies for leading in a changing world where adaptive pressures will continue to challenge all of us. You will discover new ways to approach complex organizational systems and take thoughtful action on the work we all face ahead. Most importantly, you will reflect on how to move forward on the leadership challenges you care about most.In this short Beginner course, you will discover a diagnostic-and-action process for exercising leadership that explores the following foundational principles and strategies: Business & Management
Data Science: Probability	Harvard University	Beginner	N/A	https://www.edx.org/course/data-science-probability	Learn probability theory -- essential for a data scientist -- using a case study on the financial crisis of 2007-2008.	In this course, part of our Professional Certificate Program in Data Science,you will learn valuable concepts in probability theory. The motivation for this course is the circumstances surrounding the financial crisis of 2007-2008. Part of what caused this financial crisis was that the risk of some securities sold by financial institutions was underestimated. To begin to understand this very complicated event, we need to understand the basics of probability. We will introduce important concepts such as random variables, independence, Monte Carlo simulations, expected values, standard errors, and the Central Limit Theorem. These statistical concepts are fundamental to conducting statistical tests on data and understanding whether the data you are analyzing is likely occurring due to an experimental method or to chance. Probability theory is the mathematical foundation of statistical inference which is indispensable for analyzing data affected by chance, and thus essential for data scientists. Data Analysis & Statistics
Prescription Drug Regulation, Cost, and Access: Current Controversies in Context	Harvard University	Beginner	N/A	https://www.edx.org/course/prescription-drug-regulation-cost-and-access-curre	Understand how the FDA regulates pharmaceuticals and explore debates on prescription drug costs, marketing, and testing.	Prescription drugs are among the most common health care interventions and have turnedsome once-fatal diseases into manageable conditions — but they have also been a growing source of controversy. Patients in the US struggle with increasing costs and express concerns about whymany conditions,such as Alzheimer’s disease, remain without adequate therapeutic options.At the center of these debates lies the US Food and Drug Administration (FDA), a federal agency responsible for monitoring the prescription drug marketplace and enforcing basic rules and laws that affect how prescription drugs are discovered, developed, and sold.This course investigates the major issues affecting the regulatory approval and evidence-based use of prescription drugs. You willlearn the rules and regulationsgoverning the pricing, marketing, and safety monitoring of approved prescription drugs and the importance of the FDA in regulating key aspects of the pharmaceutical market.Continuing Medical Education (CME) Medical professionals who enroll in the verified track and successfully complete Module 2: Drug Development and Approval can earn 2 AMA PRA Category 1 Credits™. Medicine
Introduction to Family Engagement in Education	Harvard University	Beginner	N/A	https://www.edx.org/course/introduction-to-family-engagement-in-education	Learn about successful collaborations between families and educators and why they lead to improved outcomes for students and schools.	In this education course, you will learn what family engagement is and why it matters to the success of students and schools. We will explore the research linking family engagement to better educational outcomes and speak directly with researchers, educators, students, and families about promising practices in the field.Family engagement describes what families do at home and in the community to support their children’s learning and development. It also encompasses the shared partnership and responsibility between home and school.Such engagement is essential for school improvement. It is also increasingly recognized as an integral element for proficient practice as an educator. Education & Teacher Training
Steps in Japanese for Beginners1 Part1	Waseda University	Beginner	N/A	https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2	Learn basic Japanese expressions to survive in Japanese.	""Andy, an exchange student who as just arrived in Japan, is making greetings and introducing himself through his life in a university dormitory. He learns the taste of the foods he becomes to like by eating with Mr. Sato and Mr. Ono, two upperclassmen in his dormitory. He also orders a hamburger and coffee at local shops as he goes about his daily business.・To say greetings
・To introduce yourself
・To ask about food
・To order Language",Business
Energy Within Environmental Constraints,Harvard University,Beginner,https://www.edx.org/course/energy-within-environmental-constraints,A quantitative introduction to the energy system and its environmental impacts.,"Humanity faces an immense challenge: providing abundant energy to everyone without wrecking the planet. If we want a high-energy future while protecting the natural world for our children, we must consider the environmental consequences of energy production and use. But money matters too: energy solutions that ignore economic costs are not realistic, particularly in a world where billions of people currently can’t afford access to basic energy services. How can we proceed? Energy Within Environmental Constraints won’t give you the answer. Instead, we will teach you how to ask the right questions and estimate the consequences of different choices. This course isrich in details of real devices and light on theory. You won’t find any electrodynamics here, but you will find enough about modern commercial solar panels to estimate if they would be profitable to install in a given location. We emphasizes costs: the cascade of capital and operating costs from energy extraction all the way through end uses. We also emphasize quantitative comparisons and tradeoffs: how much more expensive is electricity from solar panels than from coal plants, and how much pollution does it prevent? Is solar power as cost-effective an environmental investment as nuclear power or energy efficiency? And how do we include considerations other than cost? This course is intended for a diverse audience. Whether you are a student, an activist, a policymaker, a business owner, or a concerned citizen, this course will help you start to think carefully about our current energy system and how we can improve its environmental performance. Photo credits: Solar Farm CC-BY Michael Mees on flickrSmokestack CC-BY Patrick on flickr Environmental Studies",Business
